epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.567,1.03567,2.98969,1.05617,0,0,0,0,3.3351,4.15201,3.26395,0.08515,0.00015,0.00015
2,828.872,0.97776,2.00372,1.00967,0,0,0,0,2.60058,3.69772,1.74438,0.0692997,0.000299677,0.000299677
3,1247.76,0.95434,1.56384,0.98844,0,0,0,0,1.30204,2.68864,1.06099,0.0534387,0.000438698,0.000438698
4,1672.58,0.91107,1.28601,0.97444,0,0,0,0,1.08397,2.30702,1.02515,0.0375671,0.000567063,0.000567063
5,2100.35,0.89463,1.11486,0.97457,0.13793,0.00993,0.07388,0.06076,0.9249,1.95219,0.96053,0.0216848,0.000684772,0.000684772
6,2514.55,0.87621,1.00285,0.97458,0.40326,0.13092,0.2676,0.23286,0.96661,1.76349,1.00842,0.00579183,0.000791825,0.000791825
7,2934.28,0.85958,0.92398,0.97557,0.52902,0.26797,0.4042,0.35755,0.83527,1.48698,0.95307,0.0008002,0.0008002,0.0008002
8,3355.87,0.86749,0.87592,0.97269,0.37234,0.26087,0.32167,0.27968,0.85823,1.63333,0.95511,0.0007669,0.0007669,0.0007669
9,3776.51,0.84124,0.82443,0.96279,0.82048,0.22745,0.52496,0.44415,0.84585,1.24361,0.95849,0.0007336,0.0007336,0.0007336
10,4207.14,0.83962,0.80523,0.96637,0.88455,0.44206,0.66795,0.5438,0.81324,0.98828,0.94954,0.0007003,0.0007003,0.0007003
11,4576.58,0.84397,0.75623,0.96835,0.95869,0.48937,0.72709,0.60209,0.81739,0.89439,0.95512,0.000667,0.000667,0.000667
12,5003.89,0.83249,0.71795,0.96337,0.96886,0.48664,0.73061,0.60587,0.80295,0.84607,0.94986,0.0006337,0.0006337,0.0006337
13,5409.25,0.82642,0.68924,0.96574,0.94057,0.50331,0.72415,0.57488,0.84844,0.87504,0.97917,0.0006004,0.0006004,0.0006004
14,5831.89,0.81493,0.67916,0.95602,0.87742,0.54047,0.70864,0.58763,0.82934,0.84978,0.97346,0.0005671,0.0005671,0.0005671
15,6267.1,0.79563,0.65416,0.95302,0.95266,0.72951,0.84617,0.6929,0.77602,0.63377,0.94371,0.0005338,0.0005338,0.0005338
16,6708.34,0.80864,0.64048,0.94875,0.94333,0.74049,0.84865,0.67684,0.82725,0.69609,0.96857,0.0005005,0.0005005,0.0005005
17,7183.05,0.80353,0.62038,0.95428,0.95879,0.76106,0.86364,0.68675,0.79436,0.64952,0.95332,0.0004672,0.0004672,0.0004672
18,7616.54,0.79377,0.60333,0.94643,0.93202,0.81434,0.87804,0.70627,0.77214,0.61571,0.94709,0.0004339,0.0004339,0.0004339
19,8065.43,0.78949,0.59133,0.94932,0.96067,0.80161,0.88632,0.722,0.7638,0.6013,0.94051,0.0004006,0.0004006,0.0004006
20,8532.09,0.78154,0.57816,0.94318,0.96329,0.83978,0.90796,0.7376,0.77834,0.55346,0.94587,0.0003673,0.0003673,0.0003673
21,8933.86,0.77474,0.7102,0.95911,0.79878,0.59887,0.69502,0.57234,0.83231,0.82688,0.9677,0.000334,0.000334,0.000334
22,9355.21,0.75769,0.58541,0.93864,0.90696,0.66826,0.78476,0.6414,0.80069,0.78089,0.95345,0.0003007,0.0003007,0.0003007
23,9753.11,0.75799,0.55926,0.94015,0.93748,0.79761,0.87112,0.69941,0.7902,0.63377,0.94562,0.0002674,0.0002674,0.0002674
24,10159.3,0.7445,0.52439,0.93501,0.9523,0.84681,0.90661,0.73822,0.75621,0.56183,0.93029,0.0002341,0.0002341,0.0002341
25,10596.4,0.73705,0.50962,0.93356,0.95374,0.85356,0.91289,0.7399,0.76121,0.53278,0.93334,0.0002008,0.0002008,0.0002008
26,11017.9,0.73149,0.4963,0.92754,0.94719,0.86771,0.91667,0.74353,0.75662,0.52259,0.93242,0.0001675,0.0001675,0.0001675
27,11441.4,0.7283,0.49262,0.93044,0.95201,0.88796,0.92888,0.75703,0.75583,0.51228,0.93325,0.0001342,0.0001342,0.0001342
28,11853.8,0.72878,0.47991,0.92872,0.95776,0.91304,0.94302,0.76511,0.75473,0.50071,0.93242,0.0001009,0.0001009,0.0001009
29,12268.6,0.71897,0.46904,0.92408,0.95456,0.90053,0.93673,0.76434,0.74477,0.49288,0.92909,6.76e-05,6.76e-05,6.76e-05
30,12681.6,0.72064,0.47013,0.92653,0.96101,0.90095,0.9395,0.76649,0.74955,0.48537,0.92968,3.43e-05,3.43e-05,3.43e-05
